Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%]
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2020+,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2020+,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Medium,Euro 6 2020+,GDI+GPF,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 4,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 4,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 5,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 5,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 up to 2016,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 up to 2016,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 up to 2016,GDI+GPF,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2017-2019,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2017-2019,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2017-2019,GDI+GPF,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2020+,GDI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2020+,PFI,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,Petrol Hybrid,Large-SUV-Executive,Euro 6 2020+,GDI+GPF,EC,,,,20.0,130.0,0.1,-7.3,941.0,0.0,0.0,0.0,565.7,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Mini,Euro 4,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Mini,Euro 4,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Mini,Euro 5,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Mini,Euro 5,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Mini,Euro 6,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Mini,Euro 6,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Conventional,,EC,Urban Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Conventional,,EC,Urban Off Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Conventional,,EC,Rural,,,10.0,130.0,0.0,0.0,45.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Conventional,,EC,Highway,,,10.0,130.0,0.0,0.0,54.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Conventional,,EC,,,,10.0,130.0,0.1,-6.5,402.8,0.0,0.0,0.0,107.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 1,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 1,,EC,,,,5.0,130.0,0.0,0.1,12.2,0.0,0.0,0.2,1.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 2,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 2,,EC,,,,5.0,130.0,0.0,0.0,17.5,0.0,0.0,0.2,1.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 3,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 3,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.2,2.2,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 4,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 4,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 5,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 5,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Small,Euro 6,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Small,Euro 6,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Conventional,,EC,Urban Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Conventional,,EC,Urban Off Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Conventional,,EC,Rural,,,10.0,130.0,0.0,0.0,45.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Conventional,,EC,Highway,,,10.0,130.0,0.0,0.0,54.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Conventional,,EC,,,,10.0,130.0,0.1,-6.3,346.9,0.0,0.0,0.0,72.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 1,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 1,,EC,,,,5.0,130.0,0.0,0.0,2.8,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 2,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 2,,EC,,,,5.0,130.0,0.0,0.0,3.1,0.0,0.0,0.0,0.2,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 3,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 3,,EC,,,,5.0,130.0,0.0,0.0,2.8,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 4,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,2.6,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 5,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,2.6,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Medium,Euro 6,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Medium,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,2.6,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Conventional,,EC,Urban Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Conventional,,EC,Urban Off Peak,,,10.0,130.0,0.0,0.0,59.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Conventional,,EC,Rural,,,10.0,130.0,0.0,0.0,45.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Conventional,,EC,Highway,,,10.0,130.0,0.0,0.0,54.0,0.0,0.0,0.0,21.5,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Conventional,,EC,,,,10.0,130.0,0.0,0.0,0.8,16.5,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 1,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 1,,EC,,,,5.0,130.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 2,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 2,,EC,,,,5.0,130.0,0.0,0.0,3.4,0.0,0.0,0.0,0.1,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 3,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 3,,EC,,,,5.0,130.0,0.0,0.0,2.7,0.0,0.0,0.0,0.2,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 4,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 5,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ LPG,Large-SUV-Executive,Euro 6,,EC,,,,10.0,130.0,0.0,-0.3,27.6,0.0,0.0,0.0,7.9,0.0%,0.0%
Passenger Cars,LPG Bifuel ~ Petrol,Large-SUV-Executive,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Mini,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Mini,Euro 4,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Mini,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Mini,Euro 5,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Mini,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Mini,Euro 6,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Small,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Small,Euro 4,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Small,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Small,Euro 5,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Small,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Small,Euro 6,,EC,,,,5.0,130.0,0.0,-0.3,21.0,0.0,0.0,0.1,3.5,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Medium,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Medium,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Medium,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Medium,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Medium,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Medium,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,3.2,0.0,0.0,0.0,0.3,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Large-SUV-Executive,Euro 4,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Large-SUV-Executive,Euro 4,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Large-SUV-Executive,Euro 5,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Large-SUV-Executive,Euro 5,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ CNG,Large-SUV-Executive,Euro 6,,EC,,,,5.0,130.0,0.0,0.0,16.4,0.0,0.0,0.1,2.2,0.0%,0.0%
Passenger Cars,CNG Bifuel ~ Petrol,Large-SUV-Executive,Euro 6,,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
