Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%],40,EF [g/km] or ECF [MJ/km]
Passenger Cars,Petrol,Mini,Euro 4,GDI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 4,PFI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 5,GDI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 5,PFI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
