departure,emissions,distance,time,routetype,fuel,segment,standard,startLat,startLon,destLat,destLon
2020-06-28T17:00:00+02:00,8.853,54104,2932,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-06-29T17:00:00+02:00,9.244,58467,3246,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-06-30T17:00:00+02:00,9.039,58467,3473,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T17:00:00+02:00,9.197,58467,3332,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-02T17:00:00+02:00,8.973,58467,3629,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-03T17:00:00+02:00,9.368,58467,3211,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-04T17:00:00+02:00,8.856,54104,3019,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-05T17:00:00+02:00,8.853,54104,2932,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
