departure,emissions,distance,time,routetype,fuel,segment,standard,startLat,startLon,destLat,destLon
2020-07-02T12:00:00+02:00,9.52,59321,2993,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-03T12:00:00+02:00,9.556,59321,2976,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-04T12:00:00+02:00,8.877,54104,2919,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-05T12:00:00+02:00,7.5,45373,2982,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-06T12:00:00+02:00,7.447,44824,3086,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-07T12:00:00+02:00,7.507,44824,3119,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-08T12:00:00+02:00,7.515,44824,3138,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-09T12:00:00+02:00,9.52,59321,2993,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
