departure,emissions,distance,time,routetype,fuel,segment,standard,startLat,startLon,destLat,destLon
2020-06-28T10:00:00+02:00,7.39,45373,2845,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-06-29T10:00:00+02:00,7.536,45373,3068,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-06-30T10:00:00+02:00,7.624,45392,3127,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T10:00:00+02:00,7.611,45392,3087,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-02T10:00:00+02:00,8.792,53624,3085,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-03T10:00:00+02:00,7.607,45373,3145,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-04T10:00:00+02:00,7.461,45392,2976,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-05T10:00:00+02:00,7.39,45373,2845,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
