departure,emissions,distance,time,routetype,fuel,segment,standard,startLat,startLon,destLat,destLon
2020-07-01T01:00:00+02:00,7.437,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T02:00:00+02:00,7.437,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T03:00:00+02:00,7.437,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T04:00:00+02:00,7.415,45090,2539,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T05:00:00+02:00,7.4,45090,2560,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T06:00:00+02:00,7.423,45090,2648,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T07:00:00+02:00,7.513,45373,2975,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T08:00:00+02:00,7.558,45373,3178,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T09:00:00+02:00,7.582,45373,3086,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T10:00:00+02:00,7.612,45392,3087,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T11:00:00+02:00,7.616,45392,3160,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T12:00:00+02:00,7.512,44824,3138,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T13:00:00+02:00,7.5,44805,3128,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T14:00:00+02:00,9.443,58467,3042,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T15:00:00+02:00,9.371,58467,3117,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
